Channel,Energy(keV),Counts
853,161.6583,32
854,161.8481,21
855,162.0378,27
856,162.2276,30
857,162.4174,26
858,162.6072,16
859,162.7970,24
860,162.9868,20
861,163.1766,32
862,163.3664,24
863,163.5561,31
864,163.7459,21
865,163.9357,29
866,164.1255,21
867,164.3153,32
868,164.5051,32
869,164.6949,33
870,164.8847,22
871,165.0744,32
872,165.2642,23
873,165.4540,27
874,165.6438,21
875,165.8336,24
876,166.0234,20
877,166.2132,28
878,166.4030,27
879,166.5927,27
880,166.7825,24
881,166.9723,25
882,167.1621,18
883,167.3519,25
884,167.5417,25
885,167.7315,25
886,167.9212,26
887,168.1110,17
888,168.3008,23
889,168.4906,22
890,168.6804,30
891,168.8702,18
892,169.0600,39
893,169.2498,29
894,169.4395,23
895,169.6293,31
896,169.8191,28
897,170.0089,23
898,170.1987,21
899,170.3885,21
900,170.5783,27
901,170.7680,24
902,170.9578,26
903,171.1476,30
904,171.3374,27
905,171.5272,24
906,171.7170,29
907,171.9068,18
908,172.0966,17
909,172.2863,26
910,172.4761,26
911,172.6659,23
912,172.8557,26
913,173.0455,37
914,173.2353,37
915,173.4251,32
916,173.6148,26
917,173.8046,36
918,173.9944,33
919,174.1842,23
920,174.3740,21
921,174.5638,29
922,174.7535,33
923,174.9433,34
924,175.1331,26
925,175.3229,27
926,175.5127,23
927,175.7025,27
928,175.8923,28
929,176.0820,28
930,176.2718,22
931,176.4616,26
932,176.6514,29
933,176.8412,30
934,177.0310,28
935,177.2208,32
936,177.4105,28
937,177.6003,26
938,177.7901,31
939,177.9799,24
940,178.1697,24
941,178.3595,21
942,178.5493,29
943,178.7390,33
944,178.9288,23
945,179.1186,33
946,179.3084,34
947,179.4982,28
948,179.6880,24
949,179.8777,33
950,180.0675,29
951,180.2573,30
952,180.4471,20
953,180.6369,26
954,180.8267,26
955,181.0164,25
956,181.2062,44
957,181.3960,26
958,181.5858,29
959,181.7756,23
960,181.9654,27
961,182.1552,23
962,182.3449,25
963,182.5347,29
964,182.7245,18
965,182.9143,30
966,183.1041,26
967,183.2939,31
968,183.4836,26
969,183.6734,31
970,183.8632,31
971,184.0530,29
972,184.2428,24
973,184.4326,26
974,184.6223,31
975,184.8121,27
976,185.0019,29
977,185.1917,22
978,185.3815,25
979,185.5713,32
980,185.7610,25
981,185.9508,27
982,186.1406,23
983,186.3304,32
984,186.5202,23
985,186.7100,32
986,186.8997,27
987,187.0895,32
988,187.2793,20
989,187.4691,31
990,187.6589,25
991,187.8487,28
992,188.0384,15
993,188.2282,19
994,188.4180,22
995,188.6078,28
996,188.7976,36
997,188.9874,29
998,189.1771,33
999,189.3669,22
1000,189.5567,29
1001,189.7465,30
1002,189.9363,21
1003,190.1260,31
1004,190.3158,27
1005,190.5056,37
1006,190.6954,30
1007,190.8852,29
1008,191.0750,20
1009,191.2647,22
1010,191.4545,33
1011,191.6443,22
1012,191.8341,30
1013,192.0239,31
1014,192.2136,19
1015,192.4034,18
1016,192.5932,30
1017,192.7830,20
1018,192.9728,27
1019,193.1626,24
1020,193.3523,35
1021,193.5421,23
1022,193.7319,28
1023,193.9217,23
1024,194.1115,26
1025,194.3012,20
1026,194.4910,27
1027,194.6808,35
1028,194.8706,19
1029,195.0604,27
1030,195.2502,37
1031,195.4399,25
1032,195.6297,22
1033,195.8195,18
1034,196.0093,24
1035,196.1991,32
1036,196.3888,27
1037,196.5786,24
1038,196.7684,23
1039,196.9582,27
1040,197.1480,31
1041,197.3377,22
1042,197.5275,25
1043,197.7173,31
1044,197.9071,20
1045,198.0969,34
1046,198.2867,29
1047,198.4764,27
1048,198.6662,24
1049,198.8560,27
1050,199.0458,23
1051,199.2356,28
1052,199.4253,20
1053,199.6151,16
1054,199.8049,30
1055,199.9947,25
1056,200.1845,24
1057,200.3742,20
1058,200.5640,17
1059,200.7538,26
1060,200.9436,22
1061,201.1334,20
1062,201.3231,24
1063,201.5129,21
1064,201.7027,15
1065,201.8925,22
1066,202.0823,27
1067,202.2720,27
1068,202.4618,18
1069,202.6516,19
1070,202.8414,23
1071,203.0312,19
1072,203.2209,21
1073,203.4107,19
1074,203.6005,19
1075,203.7903,24
1076,203.9801,27
1077,204.1698,25
1078,204.3596,16
1079,204.5494,26
1080,204.7392,26
1081,204.9290,22
1082,205.1187,21
1083,205.3085,31
1084,205.4983,27
1085,205.6881,14
1086,205.8778,25
1087,206.0676,18
1088,206.2574,20
1089,206.4472,22
1090,206.6370,15
1091,206.8267,17
1092,207.0165,23
1093,207.2063,19
1094,207.3961,19
1095,207.5859,20
1096,207.7756,28
1097,207.9654,17
1098,208.1552,19
1099,208.3450,22
1100,208.5348,12
1101,208.7245,26
1102,208.9143,27
1103,209.1041,25
1104,209.2939,22
1105,209.4836,24
1106,209.6734,20
1107,209.8632,25
1108,210.0530,18
1109,210.2428,19
1110,210.4325,21
1111,210.6223,18
1112,210.8121,23
1113,211.0019,16
1114,211.1916,23
1115,211.3814,16
1116,211.5712,27
1117,211.7610,24
1118,211.9508,16
1119,212.1405,14
1120,212.3303,17
1121,212.5201,28
1122,212.7099,17
1123,212.8997,26
1124,213.0894,28
1125,213.2792,24
1126,213.4690,14
1127,213.6588,9
1128,213.8485,23
1129,214.0383,26
1130,214.2281,17
1131,214.4179,17
1132,214.6076,18
1133,214.7974,21
1134,214.9872,21
1135,215.1770,18
1136,215.3668,26
1137,215.5565,16
1138,215.7463,20
1139,215.9361,17
1140,216.1259,14
1141,216.3156,19
1142,216.5054,13
1143,216.6952,23
1144,216.8850,29
1145,217.0748,21
1146,217.2645,22
1147,217.4543,17
1148,217.6441,20
1149,217.8339,16
1150,218.0236,25
1151,218.2134,17
1152,218.4032,20
1153,218.5930,15
1154,218.7827,19
1155,218.9725,20
1156,219.1623,26
1157,219.3521,20
1158,219.5418,15
1159,219.7316,25
1160,219.9214,23
1161,220.1112,15
1162,220.3010,20
1163,220.4907,24
1164,220.6805,15
1165,220.8703,24
1166,221.0601,22
1167,221.2498,15
1168,221.4396,23
1169,221.6294,12
1170,221.8192,13
1171,222.0089,21
1172,222.1987,15
1173,222.3885,21
1174,222.5783,19
1175,222.7680,14
1176,222.9578,21
1177,223.1476,19
1178,223.3374,18
1179,223.5271,20
1180,223.7169,15
1181,223.9067,18
1182,224.0965,17
1183,224.2862,20
1184,224.4760,17
1185,224.6658,21
1186,224.8556,22
1187,225.0453,15
1188,225.2351,25
1189,225.4249,17
1190,225.6147,22
1191,225.8044,21
1192,225.9942,16
1193,226.1840,17
1194,226.3738,18
1195,226.5635,30
1196,226.7533,14
1197,226.9431,17
1198,227.1329,21
1199,227.3226,21
1200,227.5124,14
1201,227.7022,21
1202,227.8920,12
1203,228.0817,19
1204,228.2715,29
1205,228.4613,24
1206,228.6511,23
1207,228.8408,16
1208,229.0306,17
1209,229.2204,19
1210,229.4102,16
1211,229.5999,15
1212,229.7897,22
1213,229.9795,22
1214,230.1693,20
1215,230.3590,23
1216,230.5488,20
1217,230.7386,11
1218,230.9284,22
1219,231.1181,29
1220,231.3079,24
1221,231.4977,18
1222,231.6875,22
1223,231.8772,10
1224,232.0670,15
1225,232.2568,19
1226,232.4466,26
1227,232.6363,23
1228,232.8261,20
1229,233.0159,13
1230,233.2057,22
1231,233.3954,17
1232,233.5852,22
1233,233.7750,13
1234,233.9647,24
1235,234.1545,13
1236,234.3443,18
1237,234.5341,10
1238,234.7238,27
1239,234.9136,21
1240,235.1034,22
1241,235.2932,20
1242,235.4829,24
1243,235.6727,17
1244,235.8625,18
1245,236.0523,16
1246,236.2420,17
1247,236.4318,25
1248,236.6216,19
1249,236.8113,12
1250,237.0011,18
1251,237.1909,19
1252,237.3807,20
1253,237.5704,22
1254,237.7602,18
1255,237.9500,22
1256,238.1398,19
1257,238.3295,19
1258,238.5193,23
1259,238.7091,20
1260,238.8988,24
1261,239.0886,15
1262,239.2784,21
1263,239.4682,19
1264,239.6579,21
1265,239.8477,16
1266,240.0375,16
1267,240.2273,9
1268,240.4170,23
1269,240.6068,22
1270,240.7966,16
1271,240.9863,14
1272,241.1761,19
1273,241.3659,14
1274,241.5557,20
1275,241.7454,19
1276,241.9352,20
1277,242.1250,16
1278,242.3147,15
1279,242.5045,18
1280,242.6943,14
1281,242.8841,21
1282,243.0738,19
1283,243.2636,24
1284,243.4534,21
1285,243.6431,13
1286,243.8329,22
1287,244.0227,21
1288,244.2125,17
1289,244.4022,23
1290,244.5920,13
1291,244.7818,19
1292,244.9715,15
1293,245.1613,19
1294,245.3511,17
1295,245.5409,21
